dataset,method,clip,estimate,se,ci_low,ci_high
experimental,linear,0.001,1854.6072098458037,686.9432320259883,508.19847507486656,3201.015944616741
experimental,linear,0.005,1854.6072098458037,686.9432320259883,508.19847507486656,3201.015944616741
experimental,linear,0.01,1854.6072098458037,686.9432320259883,508.19847507486656,3201.015944616741
experimental,linear,0.025,1854.6072098458037,686.9432320259883,508.19847507486656,3201.015944616741
experimental,linear,0.05,1854.6072098458037,686.9432320259883,508.19847507486656,3201.015944616741
experimental,hgb,0.001,2050.77309831933,758.2617501801149,564.580067966305,3536.966128672355
experimental,hgb,0.005,2050.77309831933,758.2617501801149,564.580067966305,3536.966128672355
experimental,hgb,0.01,2050.77309831933,758.2617501801149,564.580067966305,3536.966128672355
experimental,hgb,0.025,2050.77309831933,758.2617501801149,564.580067966305,3536.966128672355
experimental,hgb,0.05,2050.77309831933,758.2617501801149,564.580067966305,3536.966128672355
observational,linear,0.001,1242.6279848071013,646.8455891531657,-25.189369933103535,2510.445339547306
observational,linear,0.005,1237.8123943187757,647.1840766874093,-30.668395988546536,2506.293184626098
observational,linear,0.01,1231.9711115335651,648.3991336722022,-38.891190463951034,2502.8334135310815
observational,linear,0.025,1205.8045431157223,657.6268495348855,-83.14408197265334,2494.753168204098
observational,linear,0.05,1170.9538584960123,692.3053880977137,-185.96470217550655,2527.872419167531
observational,hgb,0.001,1775.0202410922254,793.6622031798732,219.44232285967382,3330.598159324777
observational,hgb,0.005,1764.3243472592865,793.9044298705548,208.27166471299893,3320.3770298055742
observational,hgb,0.01,1757.4235894768194,794.8886199724169,199.4418943308824,3315.4052846227564
observational,hgb,0.025,1748.6839015996586,802.4410918452534,175.899361582962,3321.4684416163554
observational,hgb,0.05,1744.5359143952658,831.0445452039888,115.68860579544776,3373.383222995084
