scenario,method,repetition,seed,truth,estimate,se,ci_low,ci_high
good_overlap,naive,0,2026,2000.0,3659.6079482779373,171.31179026696816,3323.83683935468,3995.379057201195
good_overlap,linear,0,2026,2000.0,2673.9364393010264,165.26480780188874,2350.0174160093247,2997.855462592728
good_overlap,hgb,0,2026,2000.0,2377.9189582546855,208.77601828505408,1968.7179624159796,2787.1199540933917
good_overlap,naive,1,2027,2000.0,3389.360695940304,169.1927813156655,3057.7428445615997,3720.9785473190086
good_overlap,linear,1,2027,2000.0,2513.4981144420444,181.27674454341275,2158.1956951369557,2868.800533747133
good_overlap,hgb,1,2027,2000.0,1983.5949781858094,238.45351527961085,1516.226088237772,2450.9638681338465
good_overlap,naive,2,2028,2000.0,3437.2436229039104,163.25135416509454,3117.270968740325,3757.216277067496
good_overlap,linear,2,2028,2000.0,2597.14936392111,158.17800451859614,2287.1204750646616,2907.178252777558
good_overlap,hgb,2,2028,2000.0,2256.9198295221977,174.90748948769104,1914.1011501263233,2599.738508918072
good_overlap,naive,3,2029,2000.0,2992.3886037257635,165.5743574277968,2667.862863167282,3316.914344284245
good_overlap,linear,3,2029,2000.0,2345.9585280026904,159.92550763589236,2032.5045330363414,2659.4125229690394
good_overlap,hgb,3,2029,2000.0,1853.7592582711554,177.55900041842642,1505.7436174510397,2201.7748990912714
good_overlap,naive,4,2030,2000.0,3291.6724276065715,171.38093476455506,2955.7657954680435,3627.5790597450996
good_overlap,linear,4,2030,2000.0,2662.3029151681026,155.22135041579514,2358.069068353144,2966.5367619830613
good_overlap,hgb,4,2030,2000.0,2301.9717865647103,186.00283564230062,1937.4062287058011,2666.5373444236197
good_overlap,naive,5,2031,2000.0,3184.5743166149005,167.95654357427492,2855.3794912093217,3513.769142020479
good_overlap,linear,5,2031,2000.0,2319.526767044948,178.29706602422957,1970.064517637458,2668.9890164524377
good_overlap,hgb,5,2031,2000.0,2076.9693978869886,207.84592734175862,1669.5913802971418,2484.3474154768355
good_overlap,naive,6,2032,2000.0,3097.12233392293,162.19177281275972,2779.226459209921,3415.018208635939
good_overlap,linear,6,2032,2000.0,2432.9648793954234,168.8128209066305,2102.0917504184276,2763.838008372419
good_overlap,hgb,6,2032,2000.0,1921.4507671297176,307.4233352871315,1318.9010299669399,2524.0005042924954
good_overlap,naive,7,2033,2000.0,3397.4186510390164,164.97406900517237,3074.0694757888787,3720.767826289154
good_overlap,linear,7,2033,2000.0,2636.208318992507,166.8410807841146,2309.1998006556423,2963.2168373293716
good_overlap,hgb,7,2033,2000.0,2264.5959753582074,208.27671141795662,1856.3736209790125,2672.8183297374026
good_overlap,naive,8,2034,2000.0,3061.3763001149346,170.78477911587632,2726.638133047817,3396.114467182052
good_overlap,linear,8,2034,2000.0,2433.5632124275585,158.1044738004237,2123.6784437787283,2743.4479810763887
good_overlap,hgb,8,2034,2000.0,2080.381376565606,212.96706516160086,1662.9659288488683,2497.7968242823436
