dataset,method,seed,estimate,se,ci_low,ci_high
experimental,linear,42,1854.6072098458037,686.9432320259883,508.19847507486656,3201.015944616741
experimental,linear,7,1820.1316470128959,694.6581944724544,458.6015858468852,3181.6617081789063
experimental,linear,2026,1769.5251493556473,694.3379747629364,408.622718820292,3130.4275798910026
experimental,hgb,42,2050.77309831933,758.2617501801149,564.580067966305,3536.966128672355
experimental,hgb,7,2175.2536246721793,730.9077004719486,742.67453174716,3607.8327175971986
experimental,hgb,2026,2078.987387317684,738.8582310645546,630.825254431157,3527.1495202042106
observational,linear,42,1231.9711115335651,648.3991336722022,-38.891190463951034,2502.8334135310815
observational,linear,7,1231.0422551212814,650.404014966487,-43.749614213033055,2505.834124455596
observational,linear,2026,1248.2738824696005,648.8372040322356,-23.447037433581272,2519.994802372782
observational,hgb,42,1757.4235894768194,794.8886199724169,199.4418943308824,3315.4052846227564
observational,hgb,7,1538.5779559288937,806.7282089749408,-42.60933366199015,3119.7652455197776
observational,hgb,2026,1757.1757839651602,791.6537769444221,205.5343811540929,3308.8171867762276
